,Acquired Immunodeficiency Syndrome,Glioma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Lymphoma,Stomach Neoplasms,Thyroid Neoplasms,Uterine Cervical Neoplasms,"Cardiomyopathy, Dilated",Alzheimer Disease,Colonic Neoplasms,"Myositis, Inclusion Body",Ovarian Neoplasms,Prostatic Neoplasms,Huntington Disease,Lung Neoplasms,Breast Neoplasms,Neoplasms,Melanoma,Schizophrenia,"Carcinoma, Hepatocellular",Neuroblastoma,Colorectal Neoplasms,Eosinophilic Esophagitis,Osteosarcoma,"Thyroid Cancer, Papillary",Retinoblastoma,"Carcinoma, Squamous Cell",Glioblastoma,Astrocytoma,Esophageal Neoplasms,Tongue Neoplasms,Aging,Seizures,Mental Disorders,Depression,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Carcinoma,Wilms Tumor,"Diabetes Mellitus, Type 2",Gallbladder Neoplasms,"Leukemia, Myeloid, Acute",Adenocarcinoma of Lung,Pancreatic Neoplasms,"Intracranial Hemorrhage, Hypertensive",Stroke,"Stroke, Lacunar",Peripheral Arterial Disease,"Glaucoma, Open-Angle",Intracranial Aneurysm,Leukemia,Cardiovascular Diseases,Carotid Stenosis,Glaucoma,Atherosclerosis,"Carcinoma, Basal Cell",Endometriosis,Coronary Artery Disease,Aortic Aneurysm,"Neurofibroma, Plexiform",Myocardial Infarction,"Aortic Aneurysm, Abdominal",Periodontitis,Neurofibromatosis 1,Diabetes Mellitus,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Frailty,Neurofibromatoses,Primary Myelofibrosis,Hypertension,Heart Failure,Medulloblastoma,"Leukemia, Lymphocytic, Chronic, B-Cell","Osteoporosis, Postmenopausal",Bone Diseases,Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Autism Spectrum Disorder,"Depressive Disorder, Major",Psychotic Disorders,Mood Disorders,"Leukemia, Lymphoid",Kidney Neoplasms,"Lymphoma, B-Cell","Leukemia, T-Cell",Multiple Myeloma,"Lupus Erythematosus, Systemic","Lymphoma, Mantle-Cell",Osteoarthritis,Liver Cirrhosis,Head and Neck Neoplasms,"Carcinoma, Ovarian Epithelial",Hematopoiesis,Hydatidiform Mole,Marek Disease,Neural Tube Defects,Pheochromocytoma,Congenital Hyperinsulinism,Pre-Eclampsia,Prader-Willi Syndrome,Hyperprolactinemia,Silver-Russell Syndrome,Adenocarcinoma,"Neoplasms, Germ Cell and Embryonal",Meningioma,Liver Neoplasms,Gestational Trophoblastic Disease,Choriocarcinoma,Pituitary Neoplasms,Adrenocortical Carcinoma,Trophoblastic Neoplasms,Infertility,Beckwith-Wiedemann Syndrome,"Arthritis, Rheumatoid","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Polycythemia Vera,Hyperhomocysteinemia,Obesity,Fibrosis,Rhabdomyosarcoma,Insulinoma,"Infarction, Middle Cerebral Artery","Carcinoma, Embryonal",Parkinson Disease,"Heart Defects, Congenital",Pneumoconiosis,"Colitis, Ulcerative",Diabetic Cardiomyopathies,"Aortic Aneurysm, Thoracic",Ependymoma,Sarcoma,Heart Diseases,Hepatitis C,Squamous Cell Carcinoma of Head and Neck,Gastrointestinal Stromal Tumors,Asthenozoospermia,Cerebrovascular Disorders,Multiple Sclerosis,Sjogren's Syndrome,"Thyroiditis, Autoimmune","Diabetes Mellitus, Type 1",Narcolepsy,Fibroma,Fibrosarcoma,Uterine Neoplasms,"Sarcoma, Endometrial Stromal","Carcinoma, Endometrioid",Hyperglycemia,HIV,"Vitreoretinopathy, Proliferative",Congenital Microtia,Retinal Degeneration,Amyotrophic Lateral Sclerosis,Familial Primary Pulmonary Hypertension,Hemangioma,Heroin Dependence,Myelodysplastic Syndromes,Metabolic Syndrome,"Purpura, Thrombocytopenic",Liver Diseases,Substance-Related Disorders,Diabetic Retinopathy,Myopia,"Leukemia, Myeloid",Syndrome,Psoriasis,Diabetic Nephropathies,Plasmacytoma,Hodgkin Disease,Burkitt Lymphoma,Cleft Lip,Cardiomegaly,"Leukemia, Promyelocytic, Acute",Asthma,Spinocerebellar Ataxias,Cardiomyopathies,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Multiple Sclerosis, Relapsing-Remitting",Hepatoblastoma,"Renal Insufficiency, Chronic",Prostatic Hyperplasia,Lithiasis,"Epilepsy, Temporal Lobe",Neurodegenerative Diseases,Klinefelter Syndrome
Colonic Neoplasms,0,0.031089556,0.046310002,0.073850066,0.059603789,0.40214593,0.107527728,0.054623711,0,0,1,0,0.086095991,0.078002802,0,0.080843991,0.172844303,0.235773572,0.041312418,0,0.182420417,0.018700805,0.798508947,0.073139449,0.030511072,0.066060207,0.059002187,0.032359039,0.018700805,0.023657123,0.388223318,0.078007865,0,0,0,0,0.090061797,0.059591481,0.048466404,0.052259727,0.072373679,0,0.202822151,0.035799907,0.055342891,0.265541767,0,0,0,0,0,0,0.080354537,0,0,0,0,0.032359039,0,0,0,0.022981005,0,0,0,0.032108576,0,0.029733865,0,0.046028839,0,0,0,0.021593458,0.022974,0,0,0,0,0,0,0,0,0,0.039213321,0.073850066,0.031719401,0.029733865,0.029708609,0,0.031719401,0,0.088492352,0.212763486,0.059697954,0,0.032192444,0,0,0.01929638,0.05682722,0,0,0,0,0.035799907,0.080354537,0.069957667,0.305598802,0.044188548,0.037214545,0.086494124,0.049961015,0.061660934,0,0,0,0.028829116,0.076327242,0,0,0,0.024279089,0.140435255,0,0.052259727,0,0,0,0.285862637,0,0,0.023657123,0.052259727,0,0.034401078,0.110792615,0.335104574,0,0,0,0,0,0,0,0.025878438,0.030511072,0.076333211,0.036277402,0.041479551,0,0,0,0,0,0,0,0.052259727,0,0,0,0,0.140218586,0,0,0,0.052259727,0,0,0,0.042798897,0.043199663,0.018502842,0,0,0.025879082,0,0,0,0.022974,0,0,0,0.052259727,0,0,0,0,0,0
"Myositis, Inclusion Body",0,0,0,0,0,0,0,0,0,0.056650331,0,1,0,0,0.038725003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099396092,0,0,0,0,0,0,0,0,0,0,0,0,0.043680135,0.052328523,0.039267283,0,0,0.037827593,0,0,0.037827593,0,0,0,0,0,0,0.099694951,0,0,0,0.121086692,0,0,0,0.060097204,0,0,0,0,0,0.072561038,0.201106556,0,0,0.04341695,0,0,0,0,0,0,0,0,0,0,0,0.110924239,0,0,0,0,0,0,0.099370252,0,0,0,0.034034066,0.038060364,0.06231964,0,0,0.041984234,0,0,0,0.029161815,0,0,0,0,0.085918143,0,0,0,0,0,0,0,0.029776358,0,0.080011751,0,0,0,0,0,0,0,0,0,0,0,0,0.0652466,0.067688606,0.052461885,0,0,0.046199714,0,0,0,0,0,0,0,0,0,0,0.132904472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036500524,0,0,0,0,0.053591094,0,0,0,0,0.041989995,0.175649759,0
Ovarian Neoplasms,0,0.043193212,0.087034621,0.267714175,0.064275685,0.109826529,0.342965229,0.379037728,0,0,0.086095991,0,1,0.193645043,0,0.112821882,0.182326945,0.183343343,0.050394358,0,0.101222615,0.034553596,0.086031076,0,0.042586728,0.251412729,0.088213737,0.044502378,0.034553596,0.037980091,0.1234583,0.109813988,0,0,0,0,0.441351723,0.404993686,0.203739349,0.059973793,0.208186167,0.09157508,0.109826529,0.047923255,0.091581467,0.329676108,0,0,0,0,0,0,0.080120154,0,0,0,0,0.044502378,0.239780658,0,0,0.037166818,0,0,0,0.041357955,0.117469606,0.041764579,0,0.05243379,0,0,0,0.035459638,0.03715833,0,0,0,0,0.044684382,0,0,0,0,0.048418095,0.267714175,0.043847107,0.041764579,0.038829953,0,0.043847107,0,0,0.212142885,0.80501559,0,0.072806104,0,0,0.035359712,0,0.04978967,0,0.07449843,0,0.047923255,0.080120154,0.101127951,0.140900881,0.087082606,0.076350536,0.289140473,0.220305587,0.108324131,0.212726806,0,0,0.040792816,0.108007076,0,0,0,0.038716723,0.234123775,0,0.059973793,0,0,0,0,0.068862235,0,0.037980091,0.059973793,0,0,0.134737689,0.039811029,0,0,0,0,0.070758337,0.081839183,0,0.040569071,0.042586728,0.472686207,0.247916197,0.665315388,0,0,0,0,0,0,0,0.059973793,0,0,0,0,0,0,0.05572517,0,0.059973793,0,0,0.149280771,0.051765248,0.052131462,0.031462389,0,0,0.040569453,0,0,0,0.03715833,0,0,0,0.059973793,0.078067544,0,0,0,0,0.194244818
Prostatic Neoplasms,0,0.043198289,0.079101126,0.267888363,0.069981943,0.108573445,0.136402464,0.167710919,0,0,0.078002802,0,0.193645043,1,0,0.112389137,0.202417511,0.244868508,0.052381582,0,0.097929033,0.031878485,0.078991282,0,0.042416838,0.092326931,0.082672014,0.044907309,0.031878485,0.036402499,0.125738622,0.108557625,0,0,0,0,0.483582346,0.182521258,0.195444981,0.065781186,0.20178471,0,0.108573445,0.04952139,0.085459961,0.129754388,0,0,0,0,0,0,0.093463921,0,0,0,0,0.044907309,0,0,0,0.035392897,0,0,0,0.040966434,0,0.041367673,0,0.054379372,0,0,0,0.033315453,0.035382428,0,0,0,0,0,0,0,0,0,0.049789852,0.267888363,0.044048103,0.041367673,0.03796285,0,0.044048103,0,0,0.247474634,0.15093352,0,0.044685474,0,0,0.032860141,0,0,0,0,0,0.04952139,0.093463921,0.097800896,0.148748703,0.055922396,0.047316484,0.11030708,0.077353888,0.0723301,0.238186666,0,0,0.040142508,0.106283907,0,0,0,0.03732844,0.083481872,0,0.065781186,0,0,0,0,0,0,0.036402499,0.065781186,0,0,0.140428391,0.038920732,0.171187729,0,0,0,0,0,0,0.039705791,0.042416838,0.211257522,0.104468443,0.128171636,0,0,0,0,0,0,0,0.065781186,0,0,0,0,0,0,0,0,0.065781186,0,0,0.064591717,0.05421253,0.054706505,0.028661986,0,0,0.039706307,0,0,0,0.035382428,0,0,0,0.065781186,0.063077472,0.426416895,0,0,0,0.046205923
Huntington Disease,0,0,0,0,0,0,0,0,0,0.442855619,0,0.038725003,0,0,1,0,0,0,0,0.068232535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061623434,0.149169646,0,0,0,0,0,0.094242742,0,0,0,0,0,0.134831221,0.161360306,0.127057414,0,0,0.124355991,0,0,0.124355991,0,0,0,0,0,0,0.031263614,0,0,0,0.240869482,0,0,0,0.29268694,0,0,0,0,0,0,0,0.068232535,0.068232535,0.074795668,0.051375656,0.051375656,0.068232535,0.096920363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109695234,0,0.049964565,0,0.123103014,0.117835073,0.101543194,0,0,0.032804993,0,0,0,0.106077058,0,0,0,0.119669027,0,0,0,0.08251017,0,0,0,0,0.102434106,0,0.395386515,0.045191054,0,0,0,0,0,0,0,0,0,0,0,0.202074276,0.045706647,0,0,0,0.067954832,0,0,0,0,0,0,0,0,0.05985367,0,0.153653612,0,0,0.061512875,0,0,0,0,0.090601879,0,0,0,0,0,0,0,0,0,0.03544389,0,0,0,0.379021051,0,0,0,0.106908629,0.037742647,0,0,0,0,0.131942653,0.249434594,0.07193837
Lung Neoplasms,0,0.044809564,0.704034697,0.106369837,0.072376655,0.112410883,0.141077753,0.087223083,0,0,0.080843991,0,0.112821882,0.112389137,0,1,0.210007014,0.258750426,0.054208186,0,0.101040961,0.033138327,0.081476217,0,0.043969277,0.095088434,0.084879965,0.046650919,0.033138327,0.037808685,0.129701499,0.11239382,0,0,0,0,0.118045499,0.095207868,0.07733847,0.068686623,0.097918024,0,0.112410883,0.051649756,0.533882735,0.133978555,0,0,0,0,0,0,0.097783356,0,0,0,0,0.046650919,0,0,0,0.036720846,0,0,0,0.042076127,0,0.042843099,0,0.055815003,0,0,0,0.034489707,0.036709579,0,0,0,0,0,0,0,0,0,0.051437496,0.106369837,0.045724645,0.042843099,0.038913822,0,0.045724645,0,0,0.258911674,0.085886231,0,0.046411829,0,0,0.034200208,0,0,0,0,0,0.051649756,0.097783356,0.100918111,0.154325239,0.05800917,0.048802361,0.113346181,0.079735371,0.074891135,0,0,0,0.041530393,0.109958662,0,0,0,0.038808329,0.08626197,0,0.068686623,0,0,0.238558271,0,0,0,0.037808685,0.068686623,0,0,0.145388478,0.040224187,0,0,0,0,0,0,0,0.04138415,0.043969277,0.109967313,0.047565201,0.066137931,0,0,0,0,0,0,0.291034075,0.068686623,0,0,0,0,0,0,0,0,0.068686623,0,0,0,0.056171322,0.056701915,0.029527311,0,0,0.041384674,0.228301605,0,0,0.036709579,0,0,0,0.068686623,0,0,0,0,0,0
Breast Neoplasms,0,0.080809149,0.175421231,0.191332282,0.105999769,0.202455138,0.229042513,0.17227425,0,0,0.172844303,0,0.182326945,0.202417511,0,0.210007014,1,0.322614575,0.088043469,0,0.181539902,0.070995541,0.160685334,0,0.079254402,0.170630165,0.151983227,0.084214944,0.070995541,0.074926036,0.210181245,0.202421201,0,0,0,0,0.190931258,0.188435987,0.152359767,0.112264263,0.164204794,0,0.202455138,0.093501946,0.174596064,0.217266958,0,0,0,0,0,0,0.14437925,0,0,0,0,0.084214944,0,0,0,0.072715642,0,0,0,0.067987971,0,0.077177521,0,0.081315765,0,0,0,0.068192519,0.072692765,0,0,0,0,0,0,0,0,0,0.083443068,0.191332282,0.082503864,0.077177521,0.06278609,0.10023364,0.082503864,0,0,0.382288715,0.153818551,0,0.083777206,0,0,0.073331441,0,0,0,0,0,0.093501946,0.14437925,0.181661737,0.251098244,0.094376259,0.079081031,0.183189905,0.157177366,0.109771771,0,0,0.061312261,0.074755881,0.197935693,0,0,0,0.076957721,0.170338961,0,0.112264263,0,0,0,0,0,0,0.074926036,0.112264263,0,0,0.236207861,0.072352524,0,0,0,0.040115087,0,0,0,0.082211912,0.079254402,0.197951629,0.077032062,0.12991627,0,0,0,0,0,0,0,0.112264263,0,0,0,0,0,0,0,0,0.112264263,0,0.231139958,0,0.091309724,0.092195872,0.058183292,0,0,0.082212112,0,0,0,0.072692765,0,0.163578488,0,0.112264263,0,0,0,0,0,0
Neoplasms,0,0.266210956,0.241103705,0.225460399,0.280368717,0.244932325,0.25212328,0.216382437,0,0,0.235773572,0,0.183343343,0.244868508,0,0.258750426,0.322614575,1,0.25875392,0,0.209130825,0.26835571,0.195881977,0,0.258454649,0.191781362,0.164003848,0.283736906,0.26835571,0.267479997,0.222842159,0.244867508,0,0,0,0,0.195104005,0.247145315,0.181885252,0.379706253,0.192783763,0,0.244932325,0.335875462,0.220634996,0.233590418,0,0,0,0,0,0,0.458881481,0,0,0,0,0.283736906,0,0,0,0.2553862,0,0,0,0.180274186,0,0.248352782,0,0.194133224,0,0,0,0.231820135,0.25526308,0,0,0,0,0,0,0,0,0,0.239276759,0.225460399,0.274846953,0.248352782,0.162335777,0,0.274846953,0,0,0.458881481,0.166643062,0,0.281462139,0,0,0.282554643,0,0,0,0,0,0.335875462,0.458881481,0.226298016,0.289342406,0.287226627,0.221675555,0.184505932,0.189910758,0.295221551,0,0,0,0.236890505,0.23689504,0,0,0,0.278942192,0.212882751,0,0.379706253,0,0,0,0,0,0,0.267479997,0.379706253,0,0,0.263842568,0.225865568,0,0,0,0,0,0,0,0.310311389,0.258454649,0.236923077,0.213660327,0.146883773,0,0,0,0,0,0,0,0.379706253,0,0,0,0,0,0,0,0,0.379706253,0,0,0,0.273181866,0.2771978,0.184691512,0,0,0.310308597,0,0,0,0.25526308,0,0,0,0.379706253,0,0,0,0,0,0
Melanoma,0,0.398066674,0.041885583,0.04969838,0.213642023,0.052390997,0.062451951,0.042838881,0,0,0.041312418,0,0.050394358,0.052381582,0,0.054208186,0.088043469,0.25875392,1,0,0.114131264,0.304096983,0.040132414,0,0.143434468,0.10104425,0.288754423,0.151742912,0.304096983,0.341635954,0.05762329,0.052383156,0,0,0,0,0.052639838,0.046573708,0.101084362,0.210457958,0.1422424,0,0.052390997,0.16710323,0.114862428,0.059443055,0,0,0,0,0,0,0.284190951,0,0,0,0,0.151742912,0,0,0,0.196433401,0,0,0,0.143217722,0,0.139932253,0,0.169277542,0,0,0,0.313019055,0.125772624,0,0,0,0,0,0,0,0,0,0.159886472,0.04969838,0.148881334,0.139932253,0.122242497,0,0.148881334,0,0,0.107330598,0.107156683,0,0.210230358,0,0,0.502137303,0,0,0,0,0,0.16710323,0.499426682,0.260475303,0.068031551,0.249658743,0.211660461,0.050620076,0.104088654,0.307292109,0,0,0,0.135836255,0.051299498,0,0,0,0.132593165,0.112240429,0,0.35563886,0,0,0,0,0,0,0.341635954,0.210457958,0,0,0.138256477,0.131750959,0,0,0,0,0,0,0,0.140914688,0.143434468,0.051303352,0.14833177,0.086935388,0,0,0,0,0,0,0,0.210457958,0,0,0,0,0,0,0,0,0.210457958,0,0,0,0.173910362,0.175476915,0.102136983,0,0,0.14091576,0,0,0,0.125772624,0,0,0,0.210457958,0,0,0,0,0,0
Schizophrenia,0,0,0,0,0,0,0,0,0,0.103115755,0,0,0,0,0.068232535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460750139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194200756,0.194200756,0,0.149016847,0.149016847,0.50570338,0.278709095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105603621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154942362,0,0,0,0,0.237831671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carcinoma, Hepatocellular",0,0.1734686,0.071060383,0.093327045,0.156686306,0.25462005,0.123397846,0.076470698,0,0,0.182420417,0,0.101222615,0.097929033,0,0.101040961,0.181539902,0.209130825,0.114131264,0,1,0.117603657,0.187216935,0.039939917,0.089363085,0.330469805,0.176574853,0.315360883,0.117603657,0.139852957,0.256327023,0.097933264,0,0,0,0,0.105407622,0.082540126,0.369924829,0.475983271,0.140189829,0,0.25462005,0.102596409,0.416116642,0.306570391,0,0,0,0,0,0,0.202779596,0,0,0,0,0.315360883,0,0,0,0.072192347,0,0,0,0.062536102,0,0.08736977,0,0.07994249,0,0,0,0.129150827,0.072173195,0,0,0,0,0,0,0,0,0,0.109006412,0.093327045,0.092438661,0.08736977,0.084979598,0,0.092438661,0,0.254872099,0.216967805,0.277055348,0,0.081460691,0,0,0.064634579,0.066296865,0,0,0,0,0.578996513,0.202779596,0.150767734,0.687652316,0.102295584,0.368552496,0.101644466,0.380077606,0.132977206,0,0,0,0.085031738,0.096078818,0,0,0,0.075714804,0.291132063,0,0.139863323,0,0,0,0.047962685,0,0,0.139852957,0.139863323,0,0.125425747,0.322780948,0.232128803,0,0,0,0,0,0,0,0.079986168,0.089363085,0.096085424,0.101730554,0.321506662,0,0,0,0,0,0,0,0.139863323,0,0,0,0,0.369304969,0,0,0,0.139863323,0,0,0,0.117722265,0.118685393,0.059631475,0,0,0.079987551,0,0,0,0.072173195,0,0,0,0.139863323,0,0,0,0,0,0
Neuroblastoma,0,0.517810975,0.018996465,0.030050089,0.170345561,0.031885422,0.043838048,0.022237649,0,0,0.018700805,0,0.034553596,0.031878485,0,0.033138327,0.070995541,0.26835571,0.304096983,0,0.117603657,1,0.020675042,0,0.087677143,0.09127795,0.362227381,0.185773191,0.313075329,0.395232906,0.040067714,0.031880523,0,0,0,0,0.036249767,0.024432996,0.102949568,0.30380367,0.102963979,0,0.031885422,0.104417307,0.11869604,0.041479725,0,0,0,0,0,0,0.236173215,0,0,0,0,0.185773191,0,0,0,0.122188584,0,0,0,0.085675139,0,0.085259257,0,0.115668957,0,0,0,0.511762624,0.066156775,0,0,0,0,0,0,0,0,0,0.111777122,0.030050089,0.091459257,0.085259257,0.083142619,0,0.091459257,0,0,0.089195706,0.125983921,0,0.135482314,0,0,0.217643728,0,0,0,0,0,0.207531551,0.4576512,0.205428232,0.04828439,0.182942659,0.206020423,0.034723435,0.106344172,0.251559255,0,0,0,0.082456576,0.031138743,0,0,0,0.070263334,0.115654827,0,0.292631297,0,0,0,0,0,0,0.395232906,0.152855607,0,0,0.145209903,0.07967828,0,0,0,0,0,0,0,0.075352761,0.087677143,0.031141373,0.1028195,0.087245621,0,0,0,0,0,0,0,0.152855607,0,0,0,0,0,0,0,0,0.152855607,0,0,0,0.122857018,0.124106046,0.052390144,0,0,0.075354577,0,0,0,0.066156775,0,0,0,0.152855607,0,0,0,0,0,0
Colorectal Neoplasms,0,0.031254956,0.051685208,0.075315817,0.056089475,0.407233001,0.104689045,0.058532385,0,0,0.798508947,0,0.086031076,0.078991282,0,0.081476217,0.160685334,0.195881977,0.040132414,0,0.187216935,0.020675042,1,0.080027411,0.0307526,0.068278785,0.061737156,0.032348324,0.020675042,0.024887316,0.394495666,0.078995665,0,0,0,0,0.089557351,0.063128428,0.052686728,0.049067596,0.073709059,0,0.20538756,0.035250988,0.059203947,0.260209366,0,0,0,0,0,0,0.07237544,0,0,0,0,0.032348324,0,0,0,0.024274968,0,0,0,0.032126963,0,0.030073609,0,0.044622186,0,0,0,0.023002465,0.024268599,0,0,0,0,0,0,0,0,0,0.038347943,0.075315817,0.031798969,0.030073609,0.029959922,0,0.031798969,0,0.08249774,0.191636359,0.062389234,0,0.032205543,0,0,0.021235066,0.056318615,0,0,0,0,0.035250988,0.07237544,0.071833048,0.294001555,0.042539129,0.036626372,0.086386635,0.054121048,0.057768693,0,0,0,0.029277166,0.077514495,0,0,0,0.025446129,0.150697156,0,0.049067596,0,0,0,0.311494702,0,0,0.024887316,0.049067596,0,0.036729291,0.107447644,0.34170541,0,0,0,0,0,0,0,0.026864365,0.0307526,0.07751977,0.035811677,0.045844905,0,0,0,0,0,0,0,0.049067596,0,0,0,0,0.124708226,0,0,0,0.049067596,0,0,0,0.041381822,0.041716562,0.020089229,0,0,0.026864903,0,0,0,0.024268599,0,0,0,0.049067596,0,0,0,0,0,0
Eosinophilic Esophagitis,0.048058216,0,0,0,0.094670997,0.113487852,0,0,0,0,0.073139449,0,0,0,0,0,0,0,0,0,0.039939917,0,0.080027411,1,0,0,0,0,0,0,0.205411048,0,0,0,0,0,0,0,0,0,0,0,0.043422685,0,0,0.055396872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077787412,0,0,0.101798123,0,0,0,0.067798975,0,0,0,0,0.025740582,0,0,0,0,0.092181372,0,0.068587668,0.077787412,0.107183093,0.074535124,0.068587668,0,0.072195826,0,0,0,0,0.07774269,0,0,0.051319221,0,0,0,0,0,0,0,0.061821811,0,0,0,0,0,0,0,0.062391608,0.086316956,0.086318758,0,0,0,0,0.032024662,0,0,0,0,0,0.170844359,0,0,0,0,0,0.033036858,0,0.108804844,0,0,0.046820535,0.04047416,0.072374201,0.068129482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134347903,0,0.148548537,0.108263322,0,0,0,0,0,0,0,0.054444821,0.079177888,0.050252206,0,0,0,0.207348694,0,0,0.067798975,0.124318203,0,0.040766278,0,0,0,0,0,0,0
Osteosarcoma,0,0.118560704,0.030956074,0.04014663,0.191509525,0.04242504,0.053245026,0.032920234,0,0,0.030511072,0,0.042586728,0.042416838,0,0.043969277,0.079254402,0.258454649,0.143434468,0,0.089363085,0.087677143,0.0307526,0,1,0.077209643,0.084837761,0.12342888,0.087677143,0.100035169,0.048954186,0.042418605,0,0,0,0,0.044557334,0.035931655,0.077302249,0.181710005,0.122743152,0,0.04242504,0.13664327,0.088320361,0.050567441,0,0,0,0,0,0,0.258672962,0,0,0,0,0.12342888,0,0,0,0.097159126,0,0,0,0.079484857,0,0.113361432,0,0.098381001,0,0,0,0.09126,0.097129336,0,0,0,0,0,0,0,0,0,0.136108159,0.04014663,0.120980026,0.113361432,0.102986229,0,0.120980026,0,0,0.097693201,0.085848708,0,0.108669662,0,0,0.090484345,0,0,0,0,0,0.13664327,0.258672962,0.131009594,0.058241041,0.131819544,0.110911383,0.042784524,0.07969448,0.165520444,0,0,0,0.109890494,0.041500194,0,0,0,0.364971986,0.086212216,0,0.181710005,0,0,0,0,0,0,0.100035169,0.645893996,0,0,0.111849597,0.347489069,0,0,0,0,0,0,0,0.350251359,0.528411946,0.041503457,0.328484187,0.06611189,0,0,0,0,0,0,0,0.181710005,0,0,0,0,0,0,0,0,0.181710005,0,0,0,0.148625107,0.150027972,0.078137488,0,0,0.109488518,0,0,0,0.097129336,0,0,0,0.181710005,0,0,0,0,0,0
"Thyroid Cancer, Papillary",0,0.144989721,0.066847182,0.088225377,0.141423927,0.092342049,0.716102988,0.072269635,0,0,0.066060207,0,0.251412729,0.092326931,0,0.095088434,0.170630165,0.191781362,0.10104425,0,0.330469805,0.09127795,0.068278785,0,0.077209643,1,0.154918218,0.258964613,0.09127795,0.112630999,0.215926868,0.183509717,0,0,0,0,0.261307684,0.077666975,0.298629259,0.402450135,0.128721685,0.081907261,0.092342049,0.087877052,0.333848624,0.290694247,0,0,0,0,0,0,0.180073936,0,0,0,0,0.258964613,0,0,0,0.060826285,0,0,0,0.054318446,0.110387899,0.075586014,0,0.071120816,0,0,0,0.10450379,0.060811117,0,0,0,0,0.035024292,0,0,0,0,0.096752975,0.088225377,0.07970398,0.075586014,0.076339058,0,0.07970398,0,0,0.400614791,0.355291346,0,0.069246508,0,0,0.052966083,0,0,0,0.06319157,0,0.468811692,0.180073936,0.136705741,0.125401138,0.089169357,0.294165311,0.252411858,0.413969194,0.118638571,0,0,0,0.073677615,0.090680704,0,0,0,0.063608588,0.259129338,0,0.122265286,0,0,0,0,0.057984785,0,0.112630999,0.122265286,0,0,0.388075216,0.07175511,0,0,0,0,0.155373021,0.072449199,0,0.066959771,0.077209643,0.090686588,0.09062286,0.296495647,0,0,0,0,0,0,0,0.122265286,0,0,0,0,0,0,0.044404759,0,0.122265286,0,0,0.055346617,0.104038185,0.104838425,0.050773167,0,0,0.066961146,0,0,0,0.060811117,0,0,0,0.122265286,0,0,0,0,0,0.049461177
Retinoblastoma,0,0.497715677,0.059629763,0.079368116,0.142126188,0.082684367,0.104594602,0.064981855,0,0,0.059002187,0,0.088213737,0.082672014,0,0.084879965,0.151983227,0.164003848,0.288754423,0,0.176574853,0.362227381,0.061737156,0,0.084837761,0.154918218,1,0.175988889,0.362227381,0.415924364,0.098208046,0.082675721,0,0,0,0,0.091375348,0.069312854,0.154859461,0.249352159,0.130354632,0,0.082684367,0.095148419,0.171265211,0.100639989,0,0,0,0,0.07697949,0,0.17605099,0,0,0.097403662,0,0.175988889,0,0,0,0.124113701,0,0,0,0.096602533,0,0.083242015,0,0.118794713,0,0,0,0.389043651,0.070364605,0,0,0,0,0,0,0,0,0,0.101888629,0.079368116,0.087276861,0.083242015,0.082117489,0,0.087276861,0,0,0.176049319,0.175856762,0,0.132968814,0,0,0.230742555,0,0,0,0,0,0.189109445,0.331629348,0.221619341,0.111702946,0.164885441,0.206001632,0.088533951,0.158513751,0.212456125,0,0,0,0.08135615,0.08134986,0,0,0,0.073232977,0.168202735,0,0.231640146,0,0,0,0,0,0,0.415924364,0.125458904,0,0,0.21544023,0.079446839,0,0,0,0.050296221,0,0,0,0.076632385,0.084837761,0.081354595,0.096039424,0.137051695,0,0,0.225090012,0,0.354011902,0,0,0.125458904,0,0,0,0,0,0,0.178930827,0.097403662,0.125458904,0,0,0,0.108744677,0.109491877,0.059828574,0,0,0.076633541,0,0,0,0.070364605,0,0,0,0.125458904,0,0,0,0,0,0
