,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute","Lymphoma, B-Cell",Rhabdomyosarcoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
"Myositis, Inclusion Body",0,0,0,0,0.067688606,0,0,0,0.036500524,0.056650331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038725003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037827593,0,0,0,0,0,0.060097204,0,0.099694951,0.052328523,0,0,0,0,0,0,0.201106556,0.072561038,0,0,0.04341695,0,0,0,0,0,0,0,0,0,0.110924239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041984234,0.099370252,0,0,0,0.029161815,0.034034066,0,0.06231964,0,0,0,0,0,0,0.080011751,0,0,0.085918143,0,0,0,0,0,0,0,0,0,0.132904472,0,0,0,0,0,0,0,0,0,0,0,0.040624504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovarian Neoplasms,0,0.183343343,0,0.109826529,0,0.043193212,0,0,0,0,0,1,0.050394358,0.087034621,0.267714175,0.090610839,0.251412729,0.042586728,0.088213737,0.101222615,0.086031076,0.112821882,0.182326945,0,0.379037728,0.1234583,0.09159574,0.109813988,0,0,0,0,0.441351723,0.404993686,0.203739349,0.193645043,0.091581467,0.047923255,0.109826529,0.086095991,0.087034621,0.329676108,0.187525436,0,0,0,0.041764579,0,0.044502378,0,0,0,0.117469606,0.239780658,0,0,0,0.080120154,0,0.083179097,0.05243379,0,0.037166818,0,0.09157508,0.342965229,0,0,0.03715833,0.035459638,0,0,0,0,0.044684382,0,0,0.048418095,0.064275685,0.059973793,0,0.267714175,0.212142885,0,0,0.043847107,0.220305587,0,0.072806104,0.076350536,0,0.080120154,0.087082606,0.034553596,0,0.212726806,0.140900881,0,0.101127951,0,0.034553596,0,0.035359712,0.289140473,0,0.04978967,0,0.108324131,0.208186167,0.068862235,0,0,0,0,0.047923255,0.140900881,0,0.039811029,0,0.134737689,0.081839183,0.472686207,0.038829953,0.059973793,0.80501559,0,0,0,0,0,0.05572517,0.040792816,0,0,0,0,0,0.059973793,0,0,0.031462389,0,0.149280771,0.052131462,0.051765248,0,0.040569453,0.043847107,0.038716723,0,0,0.078067544,0.059973793,0.044502378,0,0.194244818,0.059654424
Melanoma,0,0.25875392,0,0.052390997,0,0.398066674,0,0,0,0,0,0.050394358,1,0.041885583,0.04969838,0.099684439,0.10104425,0.143434468,0.288754423,0.114131264,0.040132414,0.054208186,0.088043469,0,0.042838881,0.05762329,0.043387946,0.052383156,0,0,0,0,0.052639838,0.046573708,0.101084362,0.052381582,0.114862428,0.16710323,0.052390997,0.041312418,0.041885583,0.059443055,0.091278741,0,0,0,0.139932253,0,0.151742912,0,0,0,0,0,0,0,0,0.284190951,0,0.119310171,0.169277542,0,0.196433401,0,0,0.062451951,0,0,0.125772624,0.313019055,0,0,0,0,0,0,0,0.159886472,0.213642023,0.35563886,0,0.04969838,0.107330598,0,0,0.148881334,0.104088654,0,0.210230358,0.211660461,0,0.499426682,0.249658743,0.304096983,0,0,0.068031551,0,0.260475303,0,0.304096983,0,0.502137303,0.050620076,0,0,0,0.307292109,0.1422424,0,0,0,0,0,0.16710323,0.068031551,0,0.131750959,0,0.138256477,0,0.051303352,0.122242497,0.210457958,0.107156683,0,0,0,0,0,0,0.135836255,0,0,0,0,0,0.210457958,0,0,0.102136983,0,0,0.175476915,0.173910362,0,0.14091576,0.148881334,0.132593165,0,0,0,0.210457958,0.151742912,0,0,0
"Carcinoma, Non-Small-Cell Lung",0,0.241103705,0,0.079117447,0,0.031551701,0,0,0,0,0,0.087034621,0.041885583,1,0.074834189,0.061670851,0.066847182,0.030956074,0.059629763,0.071060383,0.051685208,0.704034697,0.175421231,0,0.055357828,0.100145343,0.056105744,0.079106246,0,0,0,0,0.091089132,0.060465574,0.049044168,0.079101126,0.338880314,0.03641352,0.079117447,0.046310002,0.705684099,0.103469859,0.182266598,0,0,0,0.030156432,0,0.032859837,0,0,0,0,0,0,0,0,0.081833474,0,0.049381622,0.046511232,0,0.02332524,0,0,0.108993972,0,0,0.023318025,0.021897272,0,0,0,0,0,0,0,0.039729488,0.060414356,0.053179364,0,0.074834189,0.216679431,0,0,0.032200582,0.050574966,0,0.032688171,0.037679307,0,0.081833474,0.044844813,0.018996465,0,0,0.119310186,0,0.070845897,0,0.018996465,0,0.019611202,0.087441476,0,0,0,0.06252877,0.073130403,0,0,0.15149613,0,0,0.03641352,0.119310186,0,0.02830008,0,0.112349672,0,0.077384816,0.03000441,0.053179364,0.060340445,0.185137973,0,0,0,0,0,0.029226239,0,0,0,0,0,0.053179364,0,0,0.018725816,0,0,0.043826713,0.043414256,0.15165256,0.026315961,0.032200582,0.024663422,0,0,0,0.053179364,0.032859837,0,0,0
Urinary Bladder Neoplasms,0,0.225460399,0,0.102945407,0,0.040845862,0,0,0,0,0,0.267714175,0.04969838,0.074834189,1,0.081889087,0.088225377,0.04014663,0.079368116,0.093327045,0.075315817,0.106369837,0.191332282,0,0.240196585,0.119871432,0.081189204,0.102931327,0,0,0,0,0.245944089,0.260265616,0.44240311,0.267888363,0.081174552,0.046454496,0.102945407,0.073850066,0.074834189,0.123515549,0.198055175,0,0,0,0.039205409,0,0.042370659,0,0,0,0,0.164185089,0,0,0,0.087281464,0,0.072330921,0.052226887,0,0.033456003,0,0,0.129525101,0,0,0.033446649,0.031593734,0,0,0,0,0,0,0,0.04735944,0.066457233,0.061604366,0,0.603260341,0.231104668,0,0,0.041604703,0.073825975,0,0.077209,0.080667674,0,0.087281464,0.094539834,0.030050089,0,0.227921896,0.140606912,0,0.093192163,0,0.030050089,0,0.030920913,0.105765495,0,0.06274071,0,0.119959855,0.420946841,0,0,0,0,0,0.046454496,0.140606912,0,0.037000817,0.061631765,0.133149897,0,0.302161104,0.03653336,0.061604366,0.210716096,0,0,0,0,0,0,0.038103372,0,0,0,0,0,0.061604366,0,0,0.027378335,0,0.260290462,0.05178629,0.051343609,0,0.037284877,0.041604703,0.035180462,0,0,0.251681694,0.061604366,0.042370659,0,0.116458308,0.187362007
Esophageal Squamous Cell Carcinoma,0,0.171632985,0,0.374674741,0,0.150370334,0,0,0,0,0,0.090610839,0.099684439,0.061670851,0.081889087,1,0.271600748,0.077632409,0.158464745,0.338865775,0.267891882,0.087769607,0.157255735,0,0.067054871,0.724480517,0.134643001,0.169763675,0,0,0,0,0.093949961,0.071676657,0.211049936,0.085410995,0.234128409,0.087429314,0.196798513,0.24732088,0.061670851,0.246031024,0.161768922,0,0,0,0.076123024,0,0.27208997,0,0,0,0,0,0,0,0,0.171186332,0,0.309439925,0.071811196,0,0.062540062,0,0,0.21461683,0,0,0.062525688,0.112681025,0,0,0,0,0,0,0,0.095752474,0.13713053,0.11877015,0,0.081889087,0.364041255,0.07056958,0,0.079941828,0.216177985,0,0.070324499,0.203273073,0.050491459,0.171186332,0.088664912,0.101263619,0,0,0.274014658,0,0.132970258,0,0.101263619,0,0.055443501,0.090948734,0,0,0,0.115941848,0.125990261,0,0.084724957,0,0,0,0.293153354,0.527057963,0,0.350079376,0,0.524497243,0,0.084005453,0.076702422,0.11877015,0.248368226,0,0,0,0,0,0,0.074342571,0,0,0,0,0,0.11877015,0,0,0.05288844,0,0,0.103140234,0.102413056,0,0.068308036,0.079941828,0.065167171,0,0,0,0.11877015,0.57508021,0,0,0
"Thyroid Cancer, Papillary",0,0.191781362,0,0.092342049,0,0.144989721,0,0,0,0,0,0.251412729,0.10104425,0.066847182,0.088225377,0.271600748,1,0.077209643,0.154918218,0.330469805,0.068278785,0.095088434,0.170630165,0,0.072269635,0.215926868,0.145230055,0.183509717,0,0,0,0,0.261307684,0.077666975,0.298629259,0.092326931,0.333848624,0.087877052,0.092342049,0.066060207,0.066847182,0.290694247,0.175956598,0,0,0,0.075586014,0,0.258964613,0,0,0,0.110387899,0,0,0,0,0.180073936,0,0.30143352,0.071120816,0,0.060826285,0,0.081907261,0.716102988,0,0,0.060811117,0.10450379,0,0,0,0,0.035024292,0,0,0.096752975,0.141423927,0.122265286,0,0.088225377,0.400614791,0,0,0.07970398,0.413969194,0,0.069246508,0.294165311,0,0.180073936,0.089169357,0.09127795,0,0,0.125401138,0,0.136705741,0,0.09127795,0,0.052966083,0.252411858,0,0,0,0.118638571,0.128721685,0.057984785,0,0,0,0,0.468811692,0.125401138,0,0.07175511,0,0.388075216,0.072449199,0.090686588,0.076339058,0.122265286,0.355291346,0,0,0,0,0,0.044404759,0.073677615,0,0,0,0,0,0.122265286,0,0,0.050773167,0,0.055346617,0.104838425,0.104038185,0,0.066961146,0.07970398,0.063608588,0,0,0,0.122265286,0.258964613,0,0.049461177,0
Osteosarcoma,0,0.258454649,0,0.04242504,0,0.118560704,0,0,0,0,0,0.042586728,0.143434468,0.030956074,0.04014663,0.077632409,0.077209643,1,0.084837761,0.089363085,0.0307526,0.043969277,0.079254402,0,0.032920234,0.048954186,0.033361463,0.042418605,0,0,0,0,0.044557334,0.035931655,0.077302249,0.042416838,0.088320361,0.13664327,0.04242504,0.030511072,0.030956074,0.050567441,0.082318942,0,0,0,0.113361432,0,0.12342888,0,0,0,0,0,0,0,0,0.258672962,0,0.095979714,0.098381001,0,0.097159126,0,0,0.053245026,0,0,0.097129336,0.09126,0,0,0,0,0,0,0,0.136108159,0.191509525,0.181710005,0,0.04014663,0.097693201,0,0,0.120980026,0.07969448,0,0.108669662,0.110911383,0,0.258672962,0.131819544,0.087677143,0,0,0.058241041,0,0.131009594,0,0.087677143,0,0.090484345,0.042784524,0,0,0,0.165520444,0.122743152,0,0,0,0,0,0.13664327,0.058241041,0,0.347489069,0,0.111849597,0,0.041503457,0.102986229,0.181710005,0.085848708,0,0,0,0,0,0,0.109890494,0,0,0,0,0,0.181710005,0,0,0.078137488,0,0,0.150027972,0.148625107,0,0.109488518,0.120980026,0.364971986,0,0,0,0.181710005,0.12342888,0,0,0
Retinoblastoma,0,0.164003848,0,0.082684367,0,0.497715677,0,0,0,0,0,0.088213737,0.288754423,0.059629763,0.079368116,0.158464745,0.154918218,0.084837761,1,0.176574853,0.061737156,0.084879965,0.151983227,0,0.064981855,0.098208046,0.06562899,0.082675721,0,0,0,0,0.091375348,0.069312854,0.154859461,0.082672014,0.171265211,0.095148419,0.082684367,0.059002187,0.059629763,0.100639989,0.156194706,0,0,0,0.083242015,0,0.175988889,0,0,0,0,0,0,0,0.097403662,0.17605099,0,0.177962413,0.118794713,0,0.124113701,0,0,0.104594602,0,0,0.070364605,0.389043651,0,0,0,0,0,0,0,0.101888629,0.142126188,0.231640146,0,0.079368116,0.176049319,0,0,0.087276861,0.158513751,0,0.132968814,0.206001632,0,0.331629348,0.164885441,0.362227381,0,0,0.111702946,0,0.221619341,0,0.362227381,0,0.230742555,0.088533951,0,0,0,0.212456125,0.130354632,0,0,0,0,0,0.189109445,0.111702946,0,0.079446839,0,0.21544023,0,0.081354595,0.082117489,0.125458904,0.175856762,0,0,0.225090012,0,0,0.178930827,0.08135615,0,0,0,0,0.097403662,0.125458904,0,0,0.059828574,0,0,0.109491877,0.108744677,0,0.076633541,0.087276861,0.073232977,0,0,0,0.125458904,0.175988889,0,0,0
"Carcinoma, Hepatocellular",0,0.209130825,0,0.25462005,0,0.1734686,0,0,0,0,0,0.101222615,0.114131264,0.071060383,0.093327045,0.338865775,0.330469805,0.089363085,0.176574853,1,0.187216935,0.101040961,0.181539902,0,0.076470698,0.256327023,0.077368481,0.097933264,0,0,0,0,0.105407622,0.082540126,0.369924829,0.097929033,0.416116642,0.102596409,0.25462005,0.182420417,0.071060383,0.306570391,0.18758129,0,0,0,0.08736977,0,0.315360883,0,0,0,0,0,0,0,0,0.202779596,0,0.290110929,0.07994249,0,0.072192347,0,0,0.123397846,0,0,0.072173195,0.129150827,0,0,0,0,0,0,0,0.109006412,0.156686306,0.139863323,0,0.093327045,0.216967805,0.254872099,0,0.092438661,0.380077606,0,0.081460691,0.368552496,0.066296865,0.202779596,0.102295584,0.117603657,0,0,0.687652316,0,0.150767734,0,0.117603657,0,0.064634579,0.101644466,0,0,0,0.132977206,0.140189829,0,0.047962685,0,0,0,0.578996513,0.346821167,0,0.232128803,0,0.322780948,0,0.096085424,0.084979598,0.139863323,0.277055348,0,0,0,0,0,0,0.085031738,0,0,0,0,0,0.139863323,0,0,0.059631475,0,0,0.118685393,0.117722265,0,0.079987551,0.092438661,0.075714804,0,0,0,0.139863323,0.315360883,0,0,0
Colorectal Neoplasms,0,0.195881977,0,0.407233001,0,0.031254956,0,0,0,0,0,0.086031076,0.040132414,0.051685208,0.075315817,0.267891882,0.068278785,0.0307526,0.061737156,0.187216935,1,0.081476217,0.160685334,0,0.058532385,0.394495666,0.059212681,0.078995665,0,0,0,0,0.089557351,0.063128428,0.052686728,0.078991282,0.059203947,0.035250988,0.20538756,0.798508947,0.051685208,0.260209366,0.165972593,0,0,0,0.030073609,0,0.032348324,0,0,0,0,0,0,0,0,0.07237544,0,0.053020388,0.044622186,0,0.024274968,0,0,0.104689045,0,0,0.024268599,0.023002465,0,0,0,0,0,0,0,0.038347943,0.056089475,0.049067596,0,0.075315817,0.191636359,0.08249774,0,0.031798969,0.054121048,0,0.032205543,0.036626372,0.056318615,0.07237544,0.042539129,0.020675042,0,0,0.294001555,0,0.071833048,0,0.020675042,0,0.021235066,0.086386635,0,0,0,0.057768693,0.073709059,0,0.311494702,0,0,0,0.035250988,0.58292868,0,0.34170541,0,0.107447644,0,0.07751977,0.029959922,0.049067596,0.062389234,0,0,0,0,0,0,0.029277166,0,0,0,0,0,0.049067596,0,0,0.020089229,0,0,0.041716562,0.041381822,0,0.026864903,0.031798969,0.025446129,0,0,0,0.049067596,0.032348324,0,0,0
Lung Neoplasms,0,0.258750426,0,0.112410883,0,0.044809564,0,0,0,0,0,0.112821882,0.054208186,0.704034697,0.106369837,0.087769607,0.095088434,0.043969277,0.084879965,0.101040961,0.081476217,1,0.210007014,0,0.087223083,0.129701499,0.088392939,0.11239382,0,0,0,0,0.118045499,0.095207868,0.07733847,0.112389137,0.533882735,0.051649756,0.112410883,0.080843991,0.704034697,0.133978555,0.218133797,0,0,0,0.042843099,0,0.046650919,0,0,0,0,0,0,0,0,0.097783356,0,0.078014546,0.055815003,0,0.036720846,0,0,0.141077753,0,0,0.036709579,0.034489707,0,0,0,0,0,0,0,0.051437496,0.072376655,0.068686623,0,0.106369837,0.258911674,0,0,0.045724645,0.079735371,0,0.046411829,0.048802361,0,0.097783356,0.05800917,0.033138327,0,0,0.154325239,0,0.100918111,0,0.033138327,0,0.034200208,0.113346181,0,0,0,0.074891135,0.097918024,0,0,0.238558271,0,0,0.051649756,0.154325239,0,0.040224187,0,0.145388478,0,0.109967313,0.038913822,0.068686623,0.085886231,0.291034075,0,0,0,0,0,0.041530393,0,0,0,0,0,0.068686623,0,0,0.029527311,0,0,0.056701915,0.056171322,0.228301605,0.041384674,0.045724645,0.038808329,0,0,0,0.068686623,0.046650919,0,0,0
Breast Neoplasms,0,0.322614575,0,0.202455138,0,0.080809149,0,0,0,0,0,0.182326945,0.088043469,0.175421231,0.191332282,0.157255735,0.170630165,0.079254402,0.151983227,0.181539902,0.160685334,0.210007014,1,0,0.17227425,0.210181245,0.174637923,0.202421201,0,0,0,0,0.190931258,0.188435987,0.152359767,0.202417511,0.174596064,0.093501946,0.202455138,0.172844303,0.175421231,0.217266958,0.320492252,0,0,0,0.077177521,0,0.084214944,0,0,0,0,0,0,0,0,0.14437925,0,0.153971508,0.081315765,0,0.072715642,0,0,0.229042513,0,0,0.072692765,0.068192519,0,0,0,0,0,0,0,0.083443068,0.105999769,0.112264263,0,0.191332282,0.382288715,0,0,0.082503864,0.157177366,0,0.083777206,0.079081031,0,0.14437925,0.094376259,0.070995541,0,0,0.251098244,0,0.181661737,0,0.070995541,0,0.073331441,0.183189905,0,0,0,0.109771771,0.164204794,0,0,0,0,0,0.093501946,0.251098244,0.061312261,0.072352524,0,0.236207861,0,0.197951629,0.06278609,0.112264263,0.153818551,0,0,0,0,0,0,0.074755881,0,0,0,0,0,0.112264263,0,0.231139958,0.058183292,0,0,0.092195872,0.091309724,0,0.082212112,0.082503864,0.076957721,0,0.163578488,0,0.112264263,0.084214944,0,0,0
Aging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06982794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uterine Cervical Neoplasms,0,0.216382437,0,0.08439771,0,0.033496715,0,0,0,0,0,0.379037728,0.042838881,0.055357828,0.240196585,0.067054871,0.072269635,0.032920234,0.064981855,0.076470698,0.058532385,0.087223083,0.17227425,0,1,0.103273557,0.063123026,0.0843866,0,0,0,0,0.163274755,0.649170405,0.166990563,0.167710919,0.06311275,0.038128698,0.08439771,0.054623711,0.055357828,0.106429475,0.178366054,0,0,0,0.032143521,0,0.034755512,0,0,0,0,0.280672371,0,0,0,0.078688251,0,0.056148273,0.04694445,0,0.026024897,0,0,0.111637626,0,0,0.026017576,0.02456786,0,0,0,0,0,0,0,0.04081172,0.059808078,0.053174848,0,0.240196585,0.20835148,0,0,0.034122496,0.057369391,0,0.061851576,0.06799808,0,0.078688251,0.079763085,0.022237649,0,0.241667954,0.121247121,0,0.076288032,0,0.022237649,0,0.02288672,0.091064176,0,0.054157013,0,0.106022241,0.176295359,0,0,0,0,0,0.038128698,0.121247121,0,0.030326201,0,0.114780021,0,0.794308471,0.03144302,0.053174848,0.287530256,0,0,0,0,0,0,0.031235205,0,0,0,0,0,0.053174848,0,0,0.021273162,0,0.082346445,0.04464893,0.044265461,0,0.029024429,0.034122496,0.02737549,0,0,0.075605418,0.053174848,0.034755512,0,0.056180831,0.053482457
Esophageal Neoplasms,0,0.222842159,0,0.529656998,0,0.049757585,0,0,0,0,0,0.1234583,0.05762329,0.100145343,0.119871432,0.724480517,0.215926868,0.048954186,0.098208046,0.256327023,0.394495666,0.129701499,0.210181245,0,0.103273557,1,0.207650825,0.249915879,0,0,0,0,0.128531184,0.111407647,0.092933129,0.125738622,0.104458049,0.056140193,0.28127798,0.388223318,0.100145343,0.331039773,0.217119497,0,0,0,0.047871258,0,0.05150256,0,0,0,0,0,0,0,0,0.094726352,0,0.176692635,0.058319438,0,0.042841816,0,0,0.298742319,0,0,0.042830539,0.040589377,0,0,0,0,0,0,0,0.055053902,0.073349332,0.070498806,0,0.119871432,0.498504576,0.09661776,0,0.050627634,0.095468375,0,0.051277653,0.052577559,0.06587993,0.094726352,0.06109183,0.040067714,0,0,0.374164853,0,0.114533161,0,0.040067714,0,0.041155426,0.123969761,0,0,0,0.075552584,0.10970673,0,0.124451494,0,0,0,0.056140193,0.712347976,0,0.430711842,0,0.306637692,0,0.123387921,0.042985314,0.070498806,0.099248363,0,0,0,0,0,0,0.046598638,0,0,0,0,0,0.070498806,0,0,0.035436306,0,0,0.059906206,0.059422663,0,0.047426289,0.050627634,0.044913951,0,0,0,0.070498806,0.05150256,0,0,0
Parotid Neoplasms,0,0.220717913,0,0.085492602,0,0.03395367,0,0,0,0,0,0.09159574,0.043387946,0.056105744,0.081189204,0.134643001,0.145230055,0.033361463,0.06562899,0.077368481,0.059212681,0.088392939,0.174637923,0,0.063123026,0.207650825,1,0.440861305,0,0,0,0,0.095603504,0.068501232,0.05637747,0.085476495,0.063904315,0.038721847,0.085492602,0.055351883,0.056105744,0.107708437,0.180901076,0,0.168406345,0,0.03256407,0,0.035247676,0,0,0,0,0,0,0,0,0.079997743,0,0.137740811,0.047407433,0,0.026381712,0,0,0.224680454,0,0,0.026374189,0.024885596,0,0,0,0,0,0,0,0.041309747,0.060561559,0.054023452,0,0.081189204,0.42099416,0,0,0.034596837,0.058022731,0,0.035078739,0.03931924,0,0.079997743,0.046215128,0.022557495,0,0,0.122909783,0,0.0771862,0,0.022557495,0,0.023225632,0.091998885,0,0,0,0.062524106,0.078287739,0,0,0,0,0,0.038721847,0.122909783,0,0.030700251,0,0.231086835,0,0.083755886,0.031737814,0.054023452,0.066366414,0,0,0,0,0,0,0.031632149,0,0,0,0,0,0.054023452,0,0,0.021510992,0.13702063,0,0.045245742,0.044851953,0,0.029468888,0.034596837,0.027770549,0,0,0,0.054023452,0.035247676,0,0,0
Tongue Neoplasms,0,0.244867508,0,0.108578013,0,0.04320008,0,0,0,0,0,0.109813988,0.052383156,0.079106246,0.102931327,0.169763675,0.183509717,0.042418605,0.082675721,0.097933264,0.078995665,0.11239382,0.202421201,0,0.0843866,0.249915879,0.440861305,1,0,0,0,0,0.114756795,0.091838584,0.075099931,0.108557625,0.08546463,0.049523355,0.108578013,0.078007865,0.079106246,0.129758382,0.209961061,0,0.215599631,0,0.041369409,0,0.044909149,0,0,0,0,0,0,0,0,0.093465369,0,0.186764929,0.054380556,0,0.035394792,0,0,0.271110905,0,0,0.035384324,0.033317261,0,0,0,0,0,0,0,0.049791376,0.069983291,0.06578297,0,0.102931327,0.491868559,0,0,0.044049918,0.077358196,0,0.044687308,0.047317957,0,0.093465369,0.055924033,0.031880523,0,0,0.148753049,0,0.097805141,0,0.031880523,0,0.032862228,0.110310652,0,0,0,0.072331466,0.095413493,0,0,0,0,0,0.049523355,0.148753049,0,0.038922393,0,0.279112668,0,0.106296488,0.03796411,0.06578297,0.083630105,0,0,0,0,0,0,0.040144206,0,0,0,0,0,0.06578297,0,0,0.028663588,0.174007373,0,0.054708121,0.054214137,0,0.039708374,0.044049918,0.037330414,0,0,0,0.06578297,0.044909149,0,0,0
Depression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington Disease,0,0,0,0,0.045706647,0,0,0,0.379021051,0.442855619,0.038725003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.149169646,0.068232535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124355991,0,0,0,0,0,0.29268694,0,0.031263614,0.161360306,0,0,0,0,0,0,0,0,0.068232535,0.068232535,0.074795668,0.096920363,0.051375656,0,0,0,0,0,0,0,0,0,0,0.119669027,0,0,0.049964565,0,0,0,0.08251017,0,0,0,0.032804993,0.109695234,0,0,0,0.106077058,0.123103014,0,0.101543194,0,0.094242742,0,0,0,0.045191054,0.395386515,0,0,0,0,0,0,0,0,0,0,0,0,0.153653612,0,0.05985367,0,0,0,0.090601879,0,0,0,0,0,0.137689721,0,0,0.03544389,0,0,0,0,0,0,0,0,0.106908629,0,0,0,0,0.07193837,0
